Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$47.24,-13.53%,,,,$42.57,-9.89%,$23.38,-50.52%,$57.26,21.21%,AA,NYSE:AA,-0.697
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$14.96,-16.77%,,,,$14.40,-3.74%,$5.93,-60.35%,$11.69,-21.85%,AAL,NASDAQ:AAL,-0.775
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$83.97,-21.70%,,,,$81.65,-2.76%,$99.63,18.64%,$107.87,28.46%,AAON,NASDAQ:AAON,-0.683
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$78.26,-11.51%,,,,,-100.00%,-$2.00,-102.56%,-$2.00,-102.56%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.25,$78.26,-6.17%,-6.17%,$73.43,$73.43,$76.06,-2.81%,-$147.11,-287.97%,-$137.53,-275.74%,ABCB,NYSE:ABCB,-0.559
NYSE:ABEV,1 Dec 2025,$3.18,5,$2.77,7,3.5,$2.50,10.80%,10.80%,$2.77,$3.18,$2.46,-1.60%,$6.43,157.05%,$7.65,206.00%,ABEV,NYSE:ABEV,-0.406
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$47.08,18.48%,,,,$45.75,-2.82%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,0.282
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.82,90.92%,,,,$3.51,-8.12%,$35.32,824.68%,$50.08,1210.93%,ACCO,NYSE:ACCO,-0.561
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$11.00,17.34%,,,,$10.27,-6.64%,$18.51,68.23%,$27.89,153.56%,ACEL,NYSE:ACEL,-0.571
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$93.64,3.88%,,,,$89.23,-4.71%,$354.72,278.81%,$364.23,288.97%,ACGL,NASDAQ:ACGL,-0.748
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.56,2.10%,,,,$8.91,4.09%,$7.71,-9.93%,$7.75,-9.48%,ACHR,NYSE:ACHR,0.102
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$270.37,-2.32%,,,,$267.43,-1.09%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN,-0.192
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$8.10,32.37%,,,,$8.00,-1.23%,$10.92,34.86%,$7.79,-3.85%,ACVA,NYSE:ACVA,-0.458
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$71.26,11.23%,,,,$70.97,-0.41%,$51.23,-28.11%,$85.45,19.91%,ADC,NYSE:ADC,-0.846
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.30,71.00%,,,,,-100.00%,-$2.00,-766.67%,-$2.00,-766.67%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,11 Dec 2025,$9.80,3,$13.40,9,4,$8.68,12.87%,12.87%,$9.80,$13.40,$13.13,51.27%,$4.50,-48.13%,$27.10,212.21%,ADTN,NASDAQ:ADTN,1.000
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$170.40,-53.36%,,,,$164.63,-3.39%,$310.51,82.22%,$370.54,117.45%,AEM,NYSE:AEM,-0.450
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$114.26,-8.36%,,,,$115.83,1.37%,-$1.34,-101.17%,$116.58,2.03%,AEP,NASDAQ:AEP,-0.337
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.00,-3.82%,,,,$13.68,-2.29%,-$54.42,-488.70%,-$49.99,-457.09%,AES,NYSE:AES,-0.691
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.45,23.18%,,,,$14.25,-1.38%,$116.12,703.62%,$142.63,887.08%,AFYA,NASDAQ:AFYA,-0.791
NYSE:AG,12 Aug 2025,$7.66,3,,,,$16.81,-54.46%,,,,$14.08,-16.24%,$16.78,-0.16%,$22.68,34.92%,AG,NYSE:AG,-0.783
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$38.45,-50.20%,,,,$35.55,-7.54%,$52.16,35.66%,$61.31,59.46%,AGI,NYSE:AGI,-0.384
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,,$184.54,-2.59%,,,,$168.73,-8.57%,"-$2,522.02",-1466.65%,"-$2,588.58",-1502.72%,AGM,NYSE:AGM,-0.892
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,,$10.30,-1.17%,,,,$10.32,0.19%,-$73.16,-810.30%,-$67.50,-755.35%,AGNC,NASDAQ:AGNC,-0.753
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$89.87,11.52%,,,,$85.74,-4.60%,$27.61,-69.27%,$27.68,-69.20%,AGO,NYSE:AGO,-0.819
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$7.38,27.37%,,,,$7.98,8.13%,$35.95,387.11%,$17.83,141.61%,AGRO,NYSE:AGRO,-0.693
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$82.85,2.31%,,,,$75.37,-9.03%,-$58.95,-171.16%,$6.34,-92.35%,AIG,NYSE:AIG,-0.522
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$53.08,25.85%,,,,$48.67,-8.31%,$66.74,25.74%,$108.55,104.51%,AIN,NYSE:AIN,-0.678
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$3.04,64.47%,,,,$2.71,-10.86%,$3.91,28.76%,$3.59,18.13%,AIRS,NASDAQ:AIRS,-0.516
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$228.02,-2.72%,,,,$220.11,-3.47%,$453.05,98.69%,$540.86,137.20%,AIZ,NYSE:AIZ,-0.536
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.96,-22.03%,,,,$63.75,-0.33%,-$213.17,-433.28%,-$85.32,-233.40%,AL,NYSE:AL,-0.530
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$78.76,3.42%,,,,$81.97,4.08%,$138.32,75.63%,$186.22,136.43%,ALC,NYSE:ALC,0.133
NYSE:ALEX,18 Nov 2025,$16.62,4,$21.00,5,2.5,$20.92,-20.57%,-20.57%,$16.62,$21.00,$0.00,-100.00%,$20.59,-1.59%,$14.38,-31.24%,ALEX,NYSE:ALEX,-1.000
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,,$2.13,193.00%,,,,$2.01,-5.63%,$0.77,-64.02%,$11.39,434.87%,ALIT,NYSE:ALIT,-0.597
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$206.82,-11.65%,,,,$197.62,-4.45%,$681.08,229.31%,$797.61,285.66%,ALL,NYSE:ALL,-0.650
NYSE:ALLE,24 Oct 2025,$165.38,3,,,,$164.71,0.41%,,,,$162.08,-1.60%,$301.22,82.88%,$331.15,101.05%,ALLE,NYSE:ALLE,0.038
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$45.82,-9.36%,,,,$41.41,-9.62%,-$447.73,-1077.16%,-$482.00,-1151.95%,ALLY,NYSE:ALLY,-0.674
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,,$23.57,4.11%,,,,$21.41,-9.16%,-$90.63,-484.53%,-$78.36,-432.45%,ALRS,NASDAQ:ALRS,-0.887
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,,$99.47,-1.34%,,,,$99.42,-0.05%,$215.95,117.10%,$243.94,145.24%,ALSN,NYSE:ALSN,0.304
NASDAQ:ALT,28 Oct 2025,$3.47,3,$19.75,5,,$5.34,-35.06%,,,,$4.99,-6.55%,$3.69,-30.98%,$3.70,-30.70%,ALT,NASDAQ:ALT,-0.600
